Cliente,Marca1,Marca2,Marca3,Marca_Inno1,Marca_Inno2
10,2.619179e-05,0.00011841115,0.00011841115,0.00011841115,0.00011841115
12,7.011025e-05,0.000102273814,0.000102273814,0.000102273814,0.000102273814
14,2.982162e-05,0.00011584575,0.00011584575,0.00011584575,0.00011584575
15,9.8373595e-05,0.000121224046,0.000121224046,0.000121224046,0.000121224046
18,4.9194634e-05,0.00011206353,0.00011206353,0.00011206353,0.00011206353
24,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
33,4.6498557e-05,0.000115585564,0.000115585564,0.000115585564,0.000115585564
35,0.000110607485,0.0001359951,0.0001359951,0.0001359951,0.0001359951
40,4.294128e-07,7.457059e-05,7.457059e-05,7.457059e-05,7.457059e-05
48,8.542874e-05,0.000107216365,0.000107216365,0.000107216365,0.000107216365
54,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0
63,5.436915e-05,0.00014731626,0.00014731626,0.00014731626,0.00014731626
77,5.484129e-05,0.000108996224,0.000108996224,0.000108996224,0.000108996224
78,1.4550624e-05,0.00010265546,0.00010265546,0.00010265546,0.00010265546
89,0.0,0.0,0.0,0.0,0.0
103,8.279332e-07,7.925079e-05,7.925079e-05,7.925079e-05,7.925079e-05
112,6.077281e-05,0.00014915758,0.00014915758,0.00014915758,0.00014915758
113,4.1322626e-05,0.00010316251,0.00010316251,0.00010316251,0.00010316251
130,5.368481e-09,6.326014e-05,6.326014e-05,6.326014e-05,6.326014e-05
135,0.0,0.0,0.0,0.0,0.0
136,3.0125866e-06,9.505855e-05,9.505855e-05,9.505855e-05,9.505855e-05
150,1.1606656e-05,0.000108786175,0.000108786175,0.000108786175,0.000108786175
171,0.0,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0,0.0
177,2.0695709e-06,9.068687e-05,9.068687e-05,9.068687e-05,9.068687e-05
183,2.0111168e-08,7.161433e-05,7.161433e-05,7.161433e-05,7.161433e-05
