Cliente,Marca1,Marca2,Marca3,Marca_Inno1,Marca_Inno2
10,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,1.0
103,1.0,1.0,1.0,1.0,1.0
112,1.0,1.0,1.0,1.0,1.0
113,1.0,1.0,1.0,1.0,1.0
130,1.0,1.0,1.0,1.0,1.0
135,1.0,1.0,1.0,1.0,1.0
136,1.0,1.0,1.0,1.0,1.0
150,1.0,1.0,1.0,1.0,1.0
171,1.0,1.0,1.0,1.0,1.0
173,1.0,1.0,1.0,1.0,1.0
177,1.0,1.0,1.0,1.0,1.0
183,1.0,1.0,1.0,1.0,1.0
185,1.0,1.0,1.0,1.0,1.0
199,1.0,1.0,1.0,1.0,1.0
206,1.0,1.0,1.0,1.0,1.0
210,1.0,1.0,1.0,1.0,1.0
212,1.0,1.0,1.0,1.0,1.0
216,1.0,1.0,1.0,1.0,1.0
217,1.0,1.0,1.0,1.0,1.0
230,1.0,1.0,1.0,1.0,1.0
231,1.0,1.0,1.0,1.0,1.0
233,1.0,1.0,1.0,1.0,1.0
235,1.0,1.0,1.0,1.0,1.0
237,1.0,1.0,1.0,1.0,1.0
241,1.0,1.0,1.0,1.0,1.0
242,1.0,1.0,1.0,1.0,1.0
245,1.0,1.0,1.0,1.0,1.0
255,1.0,1.0,1.0,1.0,1.0
258,1.0,1.0,1.0,1.0,1.0
259,1.0,1.0,1.0,1.0,1.0
263,1.0,1.0,1.0,1.0,1.0
265,1.0,1.0,1.0,1.0,1.0
267,1.0,1.0,1.0,1.0,1.0
